INTL_20160511_000001	Extra Entrance Infinity Dungeon, Mission 1 kali	인던,미션 1회 추가입장
INTL_20160511_000012	Mendapatkan 380 TP ketika pemakaian.	사용 시 380 TP를 획득합니다.
INTL_20160511_000013	Mendapatkan 160 TP ketika pemakaian.	사용 시 160 TP를 획득합니다.
INTL_20160511_000014	Terpakai ketika klik kanan mouse, dan bisa mendapatkan item.{nl} - 380 TP{nl} - Token (30 hari){nl} - Hair Accessories - Popolion Doll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}
INTL_20160511_000015	Terpakai ketika klik kanan mouse, dan bisa mendapatkan item.{nl} - 160 TP{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 160 TP{nl}
INTL_20160511_000016	Mendapatkan 50TP ketika pemakaian. Ketika mendapatkannya pada Inventory Character setelah menggunakannya, maka tidak dapat melakukan pembatalan.	사용 시 50 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
INTL_20160511_000017	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 30 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 30 kali{nl} - Extra entrance Mission, Dungeon 1 kali	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장
INTL_20160511_000018	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Skill Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl} - Extra entrance Mission, Dungeon 1 kali	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장
INTL_20160511_000019	Magic Enhancement Scroll 10 pcs Box	마법 부여 스크롤 10개 상자
INTL_20160511_000020	Mendapatkan 10 pcs Magic Enhancement Scroll ketika pemakaian. Mouse klik kanan untuk menggunakannya	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.
INTL_20160511_000021	Megaphone 10 pcs Box	확성기 10개 상자
INTL_20160511_000022	Mendapatkan 10 pcs Megaphone ketika digunakan. Mouse klik kanan untuk menggunakannya	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.
INTL_20160511_000023	Mendapatkan 455 TP ketika pemakaian.	사용 시 455 TP를 획득합니다.
INTL_20160511_000024	Mendapatkan 266 TP ketika pemakaian.	사용 시 266 TP를 획득합니다.
INTL_20160511_000025	Mendapatkan 112 TP ketika pemakaian.	사용 시 112 TP를 획득합니다.
INTL_20160511_000026	Hoglan Exchange Coupon 	호글란 교환권
INTL_20160511_000027	Dapat menukarkan dengan Hoglan di Companion Shop	컴패니언 상점에서 호글란으로 교환할 수 있습니다.
INTL_20160511_000028	Attack meningkat #{CaptionRatio}#% {nl}SpesificExtra Damage #{CaptionRatio2}#{nl}Durasi 10 detik	공격력 #{CaptionRatio}#% 증가{nl}특성 추가 대미지 #{CaptionRatio2}#{nl}지속시간 10초
INTL_20160511_000029	Token : 30 hari	토큰:30일
INTL_20160517_000030	TOS Seriously Leveling Package	TOS 열랩패키지
INTL_20160517_000031	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 600 TP{nl} - 토큰(30일){nl} - 헤어 악세서리 - 하나밍 인형{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}
INTL_20160517_000032	Mendapatkan 600 TP ketika pemakaian.	사용 시 600 TP를 획득합니다.
INTL_20160517_000033	Mendapatkan 1300 TP ketika pemakaian.	사용 시 1300 TP를 획득합니다.
INTL_20160517_000034	TOS Surprise Package	TOS 서프라이즈 패키지
INTL_20160517_000035	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 1300 TP{nl} - 토큰 (60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl} - 호글란 컴패니언 교환권{nl}
INTL_20160616_000036	{@st41}Tombol Isi Cash	{@st41}충전 페이지
INTL_20160616_000037	{@st45tw2}Beli TP{/}	{@st45tw2}TP 구매{/}
INTL_20160616_000038	{@st66}Gunakan Gcash untuk membeli TP{nl}TP tidak bisa ditukar Gcash kembali.{/}	{@st66}구매 관련 공지 사항 {/}
INTL_20160616_000039	{@st45tw2}Sisa Cash : %s{/}	{@st45tw2}남은캐시 : %s{/}
INTL_20160616_000040	Klik kanan untuk membuka, dapatkan item berikut.{nl} - Token 7 Hari{nl} - EXP Tome x3{nl} - Highly Condensed HP/SP Potion x100{nl} - Urgent Repair Kit x3{nl} - Soul Crystal x5{nl} - Megaphone x10{nl} - Warp Scroll x10{nl} - Instanced Dungeon Reset Voucher x1	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}
INTL_20160616_000041	Memeroleh 190 TP	사용 시 190 TP를 획득합니다.
INTL_20160616_000042	Klik kanan untuk membuka, dapatkan item berikut:{nl} 190 TP {nl} Token 30 Hari {nl} Enchant Scroll x4 {nl} Dungeon Reset Scroll x5 {nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}
INTL_20161010_000043	Berisi berbagai barang. Klik-kanan untuk menggunakan.{nl} - Token : 3 hari{nl} - Highly Condensed HP/SP Potion x50{nl} - Soul Crystal x10{nl} - Warp Scroll x10	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (3일){nl} - 고농축 HP/SP포션 50개{nl} - 소울크리스탈 10개{nl} - 워프주문서 10개{nl}
INTL_20161010_000044	Berisi berbagai barang. Klik-kanan untuk menggunakan.{nl} - Token : 15 hari{nl} - Highly Condensed HP/SP Potion x20{nl} - Soul Crystal x15{nl} ??Megaphone x15{nl} - Warp Scroll x10{nl} - Instanced Dungeon Reset Voucher x1	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 토큰 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl}{nl} - 워프주문서 10개{nl} - 인스턴스 던전 입장 횟수 초기화권 1개
INTL_20161221_000045	Winter Package	새로운 시작 패키지
INTL_20161221_000046	Klik-kanan untuk membuka, kamu akan mendapatkan. {Nl} - Highly Condensed HP Potion 100 pcs {nl} - Highly Condensed SP Potion 100 pcs {nl} - Jumbo Dumpling 10 pcs {nl} - Settlement Support potion 10 pcs {nl} - Skill Reset Potion 1 pcs {nl} - Stat Reset Potion 1 pcs	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 100개{nl} - 고농축 SP포션 100개{nl} - 대왕꿀송편 10개{nl}- 정착지원 포션 10개{nl}- 인스턴스 던전 소탕권 [★] 5개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개
INTL_20161221_000047	Delay penjualan di market dengan pembayaran silver adalah 24 jam.	마켓 판매 실버대금 딜레이 24시간.
INTL_20161221_000048	Delay pembayaran dengan silver menjadi 1 jam dengan menggunakan token.	토큰전용 판매실버대금 1시간.
